node4
[M::mp_idx_restore@2.003*0.73] loaded the index
[M::mp_mapopt_set_max_intron] set max intron size to 107183
[M::mp_idx_print_stat] 2384762 distinct k-mers; mean occ of infrequent k-mers: 156.41; 114 frequent k-mers accounting for 3956601 occurrences
[M::worker_pipeline::7.334*34.28] mapped 3769 sequences
[M::worker_pipeline::13.065*36.19] mapped 3609 sequences
[M::worker_pipeline::17.345*39.42] mapped 3618 sequences
[M::worker_pipeline::23.015*39.19] mapped 3652 sequences
[M::worker_pipeline::27.363*40.46] mapped 3635 sequences
[M::worker_pipeline::31.653*41.05] mapped 3650 sequences
[M::worker_pipeline::36.885*42.19] mapped 3707 sequences
[M::worker_pipeline::43.822*42.97] mapped 3910 sequences
[M::worker_pipeline::50.894*43.61] mapped 3879 sequences
[M::worker_pipeline::57.798*43.93] mapped 3919 sequences
[M::worker_pipeline::65.697*44.04] mapped 3904 sequences
[M::worker_pipeline::75.119*42.90] mapped 3863 sequences
[M::worker_pipeline::80.847*43.33] mapped 3669 sequences
[M::worker_pipeline::93.620*40.19] mapped 3690 sequences
[M::worker_pipeline::98.561*40.72] mapped 3601 sequences
[M::worker_pipeline::103.364*41.18] mapped 3574 sequences
[M::worker_pipeline::107.417*41.58] mapped 3621 sequences
[M::worker_pipeline::112.462*41.84] mapped 3486 sequences
[M::worker_pipeline::116.426*42.09] mapped 3649 sequences
[M::worker_pipeline::122.324*42.49] mapped 3731 sequences
[M::worker_pipeline::126.909*42.82] mapped 3579 sequences
[M::worker_pipeline::131.806*43.09] mapped 3494 sequences
[M::worker_pipeline::136.560*43.28] mapped 3607 sequences
[M::worker_pipeline::147.360*41.78] mapped 3488 sequences
[M::worker_pipeline::152.167*41.83] mapped 3657 sequences
[M::worker_pipeline::169.506*38.88] mapped 3487 sequences
[M::worker_pipeline::197.333*35.54] mapped 3738 sequences
[M::worker_pipeline::204.899*36.08] mapped 3587 sequences
[M::worker_pipeline::215.939*35.74] mapped 3631 sequences
[M::worker_pipeline::224.475*35.80] mapped 3527 sequences
[M::worker_pipeline::230.873*36.21] mapped 3612 sequences
[M::worker_pipeline::237.638*36.41] mapped 3471 sequences
[M::worker_pipeline::244.506*36.57] mapped 3486 sequences
[M::worker_pipeline::251.960*36.61] mapped 3626 sequences
[M::worker_pipeline::256.887*36.87] mapped 3657 sequences
[M::worker_pipeline::262.708*37.03] mapped 3616 sequences
[M::worker_pipeline::268.423*37.23] mapped 3573 sequences
[M::worker_pipeline::280.677*36.73] mapped 3617 sequences
[M::worker_pipeline::286.400*37.02] mapped 3522 sequences
[M::worker_pipeline::293.018*37.29] mapped 4292 sequences
[M::worker_pipeline::297.519*37.54] mapped 4795 sequences
[M::worker_pipeline::301.594*37.74] mapped 4665 sequences
[M::worker_pipeline::307.292*37.98] mapped 4735 sequences
[M::worker_pipeline::311.705*38.15] mapped 4712 sequences
[M::worker_pipeline::316.571*38.31] mapped 3833 sequences
[M::worker_pipeline::322.728*38.25] mapped 3634 sequences
[M::worker_pipeline::327.451*38.38] mapped 3514 sequences
[M::worker_pipeline::333.258*38.34] mapped 3444 sequences
[M::worker_pipeline::337.475*38.41] mapped 3489 sequences
[M::worker_pipeline::340.867*38.49] mapped 3453 sequences
[M::worker_pipeline::348.692*38.47] mapped 4065 sequences
[M::worker_pipeline::357.790*38.65] mapped 3855 sequences
[M::worker_pipeline::367.679*38.56] mapped 3721 sequences
[M::worker_pipeline::379.008*38.61] mapped 6016 sequences
[M::worker_pipeline::388.601*38.60] mapped 3864 sequences
[M::worker_pipeline::396.904*38.70] mapped 3936 sequences
[M::worker_pipeline::405.338*38.74] mapped 3975 sequences
[M::worker_pipeline::411.855*38.95] mapped 4269 sequences
[M::worker_pipeline::420.846*38.91] mapped 3617 sequences
[M::worker_pipeline::427.713*38.99] mapped 3594 sequences
[M::worker_pipeline::437.022*38.83] mapped 3457 sequences
[M::worker_pipeline::446.294*38.76] mapped 3573 sequences
[M::worker_pipeline::455.946*38.66] mapped 3733 sequences
[M::worker_pipeline::460.388*38.77] mapped 3567 sequences
[M::worker_pipeline::464.789*38.84] mapped 3358 sequences
[M::worker_pipeline::471.196*38.74] mapped 3337 sequences
[M::worker_pipeline::475.401*38.84] mapped 3380 sequences
[M::worker_pipeline::481.154*38.90] mapped 3821 sequences
